FL_DATE,Flight_Month,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,Delay_category,Delay_status,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
03-04-2019,2019-04,ExpressJet Airlines LLC d/b/a aha!,ExpressJet Airlines LLC d/b/a aha!: EV,EV,20366,4450,TUL,"Tulsa, OK",IAH,"Houston, TX",859,852,-7,No delay,Delayed,10,902,1014,14,1045,1028,-17,0,0,0,106,96,72,429,0,0,0,0,0
06-03-2022,2022-03,JetBlue Airways,JetBlue Airways: B6,B6,20409,406,FLL,"Fort Lauderdale, FL",EWR,"Newark, NJ",2030,2030,0,No delay,Delayed,14,2044,2309,11,2328,2320,-8,0,0,0,178,170,145,1065,0,0,0,0,0
15-04-2023,2023-04,Republic Airline,Republic Airline: YX,YX,20452,3615,MSP,"Minneapolis, MN",EWR,"Newark, NJ",1325,714,1069,Long Delay,On Time,55,809,1134,33,1723,1207,1124,0,0,0,178,233,145,1008,0,0,1124,0,0
03-01-2023,2023-01,Allegiant Air,Allegiant Air: G4,G4,20368,1206,USA,"Concord, NC",SFB,"Sanford, FL",1541,1531,-10,No delay,Delayed,12,1543,1653,18,1709,1711,2,0,0,0,88,100,70,457,0,0,0,0,0
31-01-2019,2019-01,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,231,DFW,"Dallas/Fort Worth, TX",RNO,"Reno, NV",1140,1135,-5,No delay,Delayed,16,1151,1241,6,1318,1247,-31,0,0,0,218,192,170,1345,0,0,0,0,0
08-06-2021,2021-06,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1378,ORD,"Chicago, IL",ABQ,"Albuquerque, NM",1315,1316,1,No delay,Delayed,14,1330,1457,8,1516,1505,-11,0,0,0,181,169,147,1118,0,0,0,0,0
21-06-2019,2019-06,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1214,SLC,"Salt Lake City, UT",DFW,"Dallas/Fort Worth, TX",600,558,-2,No delay,Delayed,10,608,915,14,940,929,-11,0,0,0,160,151,127,989,0,0,0,0,0
28-12-2021,2021-12,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5311,IAH,"Houston, TX",BOI,"Boise, ID",1805,1835,30,Short Delay,On Time,16,1851,2121,3,2110,2124,14,0,0,0,245,229,210,1482,0,0,0,0,0
25-12-2019,2019-12,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3711,BNA,"Nashville, TN",MCI,"Kansas City, MO",1715,1711,-4,No delay,Delayed,8,1719,1835,6,1855,1841,-14,0,0,0,100,90,76,491,0,0,0,0,0
23-07-2023,2023-07,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1182,AUS,"Austin, TX",IAH,"Houston, TX",520,521,1,No delay,Delayed,18,539,606,9,617,615,-2,0,0,0,57,54,27,140,0,0,0,0,0
18-07-2019,2019-07,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,992,IND,"Indianapolis, IN",TPA,"Tampa, FL",2135,2254,79,Long Delay,On Time,6,2300,44,3,2350,47,57,0,0,0,135,113,104,837,57,0,0,0,0
02-11-2019,2019-11,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2520,DFW,"Dallas/Fort Worth, TX",ORD,"Chicago, IL",1851,1859,8,No delay,Delayed,13,1912,2058,12,2119,2110,-9,0,0,0,148,131,106,801,0,0,0,0,0
01-06-2021,2021-06,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3032,DFW,"Dallas/Fort Worth, TX",BIL,"Billings, MT",1900,1859,-1,No delay,Delayed,15,1914,2048,4,2058,2052,-6,0,0,0,178,173,154,1081,0,0,0,0,0
28-05-2022,2022-05,Republic Airline,Republic Airline: YX,YX,20452,3593,MHT,"Manchester, NH",EWR,"Newark, NJ",600,555,-5,No delay,Delayed,18,613,700,6,737,706,-31,0,0,0,97,71,47,209,0,0,0,0,0
08-10-2022,2022-10,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2720,DFW,"Dallas/Fort Worth, TX",TUS,"Tucson, AZ",826,820,-6,No delay,Delayed,18,838,832,5,850,837,-13,0,0,0,144,137,114,813,0,0,0,0,0
28-10-2020,2020-10,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5047,RDU,"Raleigh/Durham, NC",DTW,"Detroit, MI",1745,1740,-5,No delay,Delayed,11,1751,1907,14,1932,1921,-11,0,0,0,107,101,76,501,0,0,0,0,0
01-01-2019,2019-01,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,345,ATL,"Atlanta, GA",DAB,"Daytona Beach, FL",939,935,-4,No delay,Delayed,12,947,1041,3,1055,1044,-11,0,0,0,76,69,54,366,0,0,0,0,0
28-12-2020,2020-12,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5327,SFO,"San Francisco, CA",BOI,"Boise, ID",1825,1823,-2,No delay,Delayed,17,1840,2108,3,2105,2111,6,0,0,0,100,108,88,522,0,0,0,0,0
02-01-2022,2022-01,Republic Airline,Republic Airline: YX,YX,20452,3467,ORD,"Chicago, IL",DCA,"Washington, DC",1935,0,0,No delay,Delayed,0,0,0,0,2241,0,0,1,B,0,126,0,0,612,0,0,0,0,0
17-05-2022,2022-05,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4041,BWI,"Baltimore, MD",MHT,"Manchester, NH",755,750,-5,No delay,Delayed,13,803,902,5,915,907,-8,0,0,0,80,77,59,377,0,0,0,0,0
04-03-2020,2020-03,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1013,SFO,"San Francisco, CA",DEN,"Denver, CO",1252,1251,-1,No delay,Delayed,20,1311,1612,9,1629,1621,-8,0,0,0,157,150,121,967,0,0,0,0,0
